id,shop_no,original_name,clean_name,district,excise_range,search_query,google_maps_url,address,latitude,longitude,rating,reviews_count,timings,phone_number,signature_dishes,vibe_summary,geocoded,menu_extracted,verified,website
54,9,Murukkumpuzha,Murukkumpuzha,Thiruvananthapuram,Kazhakuttom,"Murukkumpuzha Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
55,10,Mangalapuram,Mangalapuram,Thiruvananthapuram,Kazhakuttom,"Mangalapuram Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
56,11,Pattathil,Pattathil,Thiruvananthapuram,Kazhakuttom,"Pattathil Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
57,12,Vavara,Vavara,Thiruvananthapuram,Kazhakuttom,"Vavara Toddy Shop, Kazhakuttom, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
58,1,Nedumangad Town,Nedumangad Town,Thiruvananthapuram,Nedumangad,"Nedumangad Town Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
59,2,Koottappara,Koottappara,Thiruvananthapuram,Nedumangad,"Koottappara Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
60,3,Maruthoor,Maruthoor,Thiruvananthapuram,Nedumangad,"Maruthoor Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
61,4,Vattappara,Vattappara,Thiruvananthapuram,Nedumangad,"Vattappara Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
62,5,Anad,Anad,Thiruvananthapuram,Nedumangad,"Anad Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
63,6,Kulavikonam,Kulavikonam,Thiruvananthapuram,Nedumangad,"Kulavikonam Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
64,7,Karinkada,Karinkada,Thiruvananthapuram,Nedumangad,"Karinkada Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
65,8,Vithura,Vithura,Thiruvananthapuram,Nedumangad,"Vithura Toddy Shop, Nedumangad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
66,1,Vembayam,Vembayam,Thiruvananthapuram,Vamanapuram,"Vembayam Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
67,2,Nannattukavu,Nannattukavu,Thiruvananthapuram,Vamanapuram,"Nannattukavu Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
68,3,Venjaramoodu Jn.,Venjaramoodu Jn.,Thiruvananthapuram,Vamanapuram,"Venjaramoodu Jn. Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
69,4,Vamanapuram,Vamanapuram,Thiruvananthapuram,Vamanapuram,"Vamanapuram Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
70,5,Palamkonam,Palamkonam,Thiruvananthapuram,Vamanapuram,"Palamkonam Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
71,6,Chullalam,Chullalam,Thiruvananthapuram,Vamanapuram,"Chullalam Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
72,7,Aramthanam,Aramthanam,Thiruvananthapuram,Vamanapuram,"Aramthanam Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
73,8,Kallara,Kallara,Thiruvananthapuram,Vamanapuram,"Kallara Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
74,9,Bharathannur,Bharathannur,Thiruvananthapuram,Vamanapuram,"Bharathannur Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
75,10,Chippanchira,Chippanchira,Thiruvananthapuram,Vamanapuram,"Chippanchira Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
76,11,Peringamala,Peringamala,Thiruvananthapuram,Vamanapuram,"Peringamala Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
77,12,Palode,Palode,Thiruvananthapuram,Vamanapuram,"Palode Toddy Shop, Vamanapuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
78,1,Puravoorkonam,Puravoorkonam,Thiruvananthapuram,Aryanad,"Puravoorkonam Toddy Shop, Aryanad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
79,2,Aruvikkara,Aruvikkara,Thiruvananthapuram,Aryanad,"Aruvikkara Toddy Shop, Aryanad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
80,3,Vellanad,Vellanad,Thiruvananthapuram,Aryanad,"Vellanad Toddy Shop, Aryanad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
81,4,Pattakulam,Pattakulam,Thiruvananthapuram,Aryanad,"Pattakulam Toddy Shop, Aryanad, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
82,1,Oorupoika,Oorupoika,Thiruvananthapuram,Chirayinkeezhu,"Oorupoika Toddy Shop, Chirayinkeezhu, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
83,2,Parayadi,Parayadi,Thiruvananthapuram,Chirayinkeezhu,"Parayadi Toddy Shop, Chirayinkeezhu, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
84,3,Mudakkal,Mudakkal,Thiruvananthapuram,Chirayinkeezhu,"Mudakkal Toddy Shop, Chirayinkeezhu, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
85,4,Poovathumoodu,Poovathumoodu,Thiruvananthapuram,Chirayinkeezhu,"Poovathumoodu Toddy Shop, Chirayinkeezhu, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
